idevent	speaker	text	nextevent	LastEventInSequence	textBoxPosition	timeSub	timeCut	imageAsset	audioAsset
0	subtitle	It's snowing. Aster has to go.	1	N	0	3	3	1 - Aster - facingCameraLowerFace	
1	subtitle	The smell in the air reminds her of an old friend.	0	Y	0	0	0	1 - Aster - facingCarriage	
2	subtitle	A bunch of dried forget-me-not. She can't help but think of whoever forgets it here.	0	Y	0	0	0	2 - flowerBunch	
3	QTE	take	2	Y	4	0	0		
4	subtitle	She left the poor thing behind.	5	N	0	3	3	2 - flowerBunchHand	
5	subtitle	Could it be something worthwhile, no one's going to leave it in the beginning, right?	0	Y	0	0	0	2 - Aster - lookingAtHerReflection	
6	subtitle	They look cute. 	7	N	0	2	2	2 - puttingIntoBag	
7	subtitle	She might throw it simewhere along the way, but that would be later.	0	Y	0	0	0	2 - puttingIntoBag	
8	subtitle	Something caught onto her loose knit sweater. 	9	N	0	2	2	3 - keyCaughtInClothes	
9	subtitle	she felt the freezingly cold wind slip through the carriage door.	0	Y	0	0	0	3 - keyCaughtInClothes	
10	QTE	take	8	Y	4	0	0		
11	subtitle	A metal gadget of mesmerizing weight and touch. 	12	N	0	3	3	3 - keyInHand	
12	subtitle	A triangle is engraved deep into its one end.	0	Y	0	0	0	3 - keyInHand	
13	subtitle	I have to go. she thought.	14	N	0	3	3	3 - takingTheKey	
14	subtitle	I will leave here and never come back.	0	Y	0	0	0	3 - herThoughts	
15	subtitle	It left a hole on her sweater. 	0	Y	0	2	2	3 - herThoughtOne	
16	subtitle	A hole that never repairs itself. 	0	Y	0	0	0	3 - herThoughtTwo	
17	subtitle	The carriage is not empty.	18	N	0	2	2	1 - Aster - facingCarriage	
18	subtitle	A few black cracks on the floor are releasing a screechy noise.	0	Y	0	0	0	4 - blackPuddle	
19	subtitle	If Nina was here, she would never let her touch them.	20	N	0	4	4	4 - NinaAndAster	
20	subtitle	But she is not.	0	Y	0	3	3	4 - NinaAndAsterBlur	
21	subtitle	She remembers her brown eyes and dark, stringy hair.	22	N	0	4	4	4 - Nina	
22	subtitle	Nina. The name sounds almost alien.	0	Y	0	0	0	4 - Nina	
23	subtitle	It's snowing. She has to go.	0	Y	0	0	0	2 - Aster - lookingAtHerReflection	
24	subtitle	I offer you three secrets, after which I offer death. 	25	N	0	4	4	4 - deathEye	
25	subtitle	The first secret is: "The only time one can leave here is when they lose everything."	0	Y	0	0	0	4 - deathEye	
26	subtitle	The second secret is: "Winter kept us warm, covering Earth in forgetful snow."	0	Y	0	0	0	4 - deathEye	
27	subtitle	The third secret is: "A dead woman send Aster a letter."	0	Y	0	0	0	4 - deathEye	
28	QTE	take	29	N	4	0	0		
29	subtitle	It's a piece of paper, with a clear-punched hole on the corner.	30	N	0	4	4	4.5 - page	
30	subtitle	Probably comes from a small book.	0	Y	0	0	0	4.5 - page	
31	subtitle	She thought about who wrote this and why they wrote this.	32	N	0	4	4	2 - Aster - lookingAtHerReflection	
32	subtitle	And the vast and sorrowful nothingness both behind and in front of her.	0	Y	0	0	0	2 - Aster - lookingAtHerReflection	
33	subtitle	She stepped past it. There are other things to care about other than this.	0	Y	0	0	0		
34	subtitle	A tired-looking person seem to be sleeping on the coach soundly.	0	Y	0	0	0	5 - womanSleeping	
35	subtitle	The screechy sound piked and it suddenly feels cold.	36	N	0	4	4	5 - tideComing	
36	subtitle	Black tide is coming.	0	Y	0	0	0	5 - tideComingFurther	
37	QTE	nudge	38	N	4	0	0		
38	subtitle	Whatever lies in the dark spray is not going to do anyone anything good.	0	Y	0	0	0	5 - tideComingFurther	
39	QTE	rock	40	N	4	0	0		
